id,name,symbol,country
k33-ab,K33 AB,K33.ST,NO
rsxyz-pcl,RSXYZ PCL,XYZ.BK,TH
oblong-industries,TaoWeave (formerly Oblong Industries),TWAV.US,US
kitabo,Kitabo,3409.T,JP
solana-company,Solana Company,HSDT.US,US
alt5-sigma,AI Financial Corporation (formerly ALT5 Sigma),AIFC.US,US
the-blockchain-group,Capital B,ALCPB.PA,FR
linekong-interactive-group-co-ltd,"Linekong Interactive Group Co., Ltd",8267.HK,CN
figure-technology-solutions,Figure Technology Solutions,FIGR.US,US
cea-industries,CEA Industries,BNC.US,US
semler-scientific,Semler Scientific (acquired by Strive),SMLR.US,US
xce-connecting-excellence-group,XCE Connecting Excellence Group,XCE.AQ,GB
tenx-protocols,TenX Protocols,TNX.V,CA
falconedge,Falconedge,EDGE.AQ,GB
norwegian-block-exchange,Norwegian Block Exchange,NBX.OL,NO
bit-origin,Bit Origin,BTOG.US,SG
bitgo-holdings,BitGo Holdings,BTGO.US,US
bitcoin-group-se,Bitcoin Group SE,ADE.DE,DE
vaultz-capital,Vaultz Capital,V3TC.AQ,GB
digipowerx,DigiPowerX,DGX.V,US
lqwd-technologies-corp,LQWD Technologies Corp.,LQWD.V,CA
usbc,USBC,USBC.US,US
the-brooker-group,The Brooker Group,BTC.BK,TH
spacex,Space Exploration Technologies Corp.,SPCX,US
samara-asset-group,Samara Asset Group,SRAG.DU,MT
parataxis,Parataxis Korea,288330.KQ,KR
aifinyo,aifinyo,EBEN.HM,DE
coinbase-global,Coinbase Global,COIN.US,US
aker-asa,Aker ASA,AKER.OL,NO
moon-inc,Moon Inc,1723.HK,HK
cdt-equity,CDT Equity ,CDT.US,US
merchant-bankers-co-mbk,Merchant Bankers Co (MBK),3121.T,JP
angel-studios-inc,Angel Studios Inc,ANGX.US,US
sato-technologies-corp,SATO Technologies Corp,SATO.V,CA
bitcoin-well,Bitcoin Well,BTCW.V,CA
bitplanet-co,Bitplanet Co,049470.KQ,KR
sharps-technology,SkyAI Inc (formerly Sharps Technology),SKYA.US,US
bitdeer-technologies-group,Bitdeer Technologies Group,BTDR.US,SG
mogo,Orion Digital Corp (formerly Mogo),ORIO.TO,CA
sol-strategies,SOL Strategies,HODL.CN,CA
walnut-capital,Walnut Capital Limited,0905.HK,HK
bitmine,BitMine Immersion,BMNR.US,US
anap-holdings,Anap Holdings,3189.T,JP
intchains,Intchains,ICG.US,CN
prenetics,Prenetics,PRE.US,KY
abits-group,Abits Group,ABTS.OTCMKTS,US
athena-bitcoin-global,Athena Bitcoin Global,ABIT,US
aurelion,Aurelion,AURE.US,US
ipower,iPower,IPW.US,US
refine-group,Refine Group,REFINE.ST,SE
oranjebtc,OranjeBTC,OBTC3.SA,BR
vanadi-coffee-sa,"Vanadi Coffee, SA",VANA.MC,ES
locate-technologies,Locate Technologies,LOC.NZ,AU
bitcoin-treasury-corp,Bitcoin Treasury Corp,BTCT.V,CA
banxa-holdings,Banxa Holdings (acquired by OSL Group),BNXA.V,CA
xtao,xTAO,XTAO.U.V,KY
mercadolibre,MercadoLibre,MELI.BA,AR
b-hodl,B HODL,HODL.AQ,GB
