id,name,chain_identifier
lightlink,LightLink,1890
eos-evm,EOS EVM,17777
ultron,Ultron,1231
tenet,Tenet,1559
comdex,COMDEX,
aptos,Aptos,
axelar,Axelar,
cardano,Cardano,
celer-network,Celer Network,
loopring,Loopring,
chiliz,Chiliz,
rollux,Rollux,570
clover,Clover,
bifrost-kusama,Bifrost Kusama,
mode,Mode,34443
monad,Monad,143
ki-chain,Ki Chain,
songbird,Songbird,19
astar-zkevm,Astar zkEVM,3776
reactive-network,Reactive Network,1597
fuel-ignition,Fuel Ignition,
osmosis,Osmosis,
omniflix,Omniflix,
gravity-bridge,Gravity Bridge,
shimmer_evm,ShimmerEVM,148
hyperliquid,Hyperliquid,
playa3ull-games,PLAYA3ULL GAMES,3011
shido,Shido,9008
chihuahua,Chihuahua,
coreum,Coreum,
cudos,Cudos,
artela,Artela,11820
desmos,Desmos,
dydx,dYdX,
dymension,Dymension,
iris,IRIS,
ixo,IXO,
kyve,KYVE,
likecoin,LIKECOIN,
lum,LUM,
mars-protocol,Mars Protocol,
internet-computer,Internet Computer,
onomy,Onomy,
persistence,Persistence,
quasar,Quasar,
regen,Regen,
sommelier,Sommelier,
stride,Stride,
teritori,Teritori,
ux-chain,UX Chain,
milkomeda-cardano,Milkomeda (Cardano),2001
mayachain,MAYAChain,
ql1,QL1,766
galachain,GalaChain,
xt-smart-chain,XT Smart Chain,520
endurance,Endurance,648
bitgert,Bitgert Chain,32520
stacks,Stacks,
ham,Ham,5112
kinto,Kinto,7887
xone,Xone,3721
kadena,Kadena,
bitlayer,Bitlayer,200901
zilliqa,Zilliqa,
lukso,Lukso,42
glue,Glue,1300
tdvv-sidechain,tDVV SideChain,
octaspace,OctaSpace,800001
radix,Radix,
laikachain,Laika,6942
elysium,Elysium,1339
oraichain,Oraichain,
pundi-aifx-omnilayer,Pundi AIFX Omnilayer,
aurora,Aurora,1313161554
celo,Celo,42220
archway,Archway,
tomochain,Viction,88
energi,Energi,39797
polygon-zkevm,Polygon zkEVM,1101
evmos,Evmos,9001
terra,Terra Classic,
secret,Secret,
iotex,IoTeX,4689
tron,TRON,
astar,Astar,592
fuse,Fuse,122
metal-l2,Metal L2,
jibchain,Jibchain,8899
valuechain,ValueChain,288623
world-chain,World Chain,480
soneium,Soneium,1868
wanchain,Wanchain,888
ethereumpow,EthereumPoW,
bittorrent,BitTorrent,199
elastos,Elastos Smart Contract Chain,20
smartbch,SmartBCH,10000
step-network,Step Network,1234
migaloo,Migaloo,
thundercore,ThunderCore,108
proof-of-memes,Proof of Memes,18159
mainnetz,MainnetZ,2016
parex-network,Parex Network,322202
areon-network,Areum Network,463
niza,Niza,
uton,UTON,
iota-evm,Iota EVM,8822
oasis-sapphire,Oasis Sapphire,23294
nahmii,Nahmii,4061
boba-bnb,Boba BNB,56288
gunz,GUNZ,43419
vyvo-smart-chain,Vyvo Smart Chain,8889
hydra,Hydra,4488
saga,Saga,5464
oasys,Oasys,248
haqq-network,Haqq Network,11235
sora,Sora,
funki,Funki,33979
bittensor,Bittensor,
manta-pacific,Manta Pacific,169
botanix,Botanix,3637
boba,Boba Network,288
sanko,Sanko,1996
bitrock,Bitrock,7171
x-layer,X Layer,196
moonriver,Moonriver,1285
aelf,AELF,
conflux,Conflux,1030
ethereum-classic,Ethereum Classic,61
huobi-token,Huobi ECO Chain Mainnet,128
kucoin-community-chain,Kucoin Community Chain,321
qitmeer-network,Qitmeer Network,813
meter,Meter,82
vechain,VeChain,100009
eos,EOS,
icb-network,ICB Network,73115
mantra-evm,MANTRA EVM,5888
platon-network,PlatON Network,210425
bittensor-evm,Bittensor EVM,964
moonchain,Moonchain,18686
lung-chain,Lung Chain,78887
maxxchain,MaxxChain,10201
taraxa,Taraxa,841
graphlinq-chain,GraphLinq Chain,614
unichain,Unichain,130
multivac,MultiVAC,62621
arbitrum-one,Arbitrum One,42161
inevm,inEVM,2525
larissa,Larissa,9898
combo,Combo,9980
hela,Hela,8668
redstone,Redstone,690
superseed,Superseed,5330
nibiru,Nibiru,6900
shiden network,Shiden Network,336
eventum,Eventum,161803
hashkey-chain,HashKey Chain,177
8bit-chain,8Bit Chain,
qubic,Qubic,
chia,Chia,
rootstock,Rootstock RSK,30
cronos-zkevm,Cronos zkEVM,388
kroma,Kroma,255
dogechain,Dogechain,2000
bsquared-network,BSquared Network,
polkadot,Polkadot,
gravity-alpha,Gravity,1625
cosmos,Cosmos,
airdao,AirDAO,16718
bob-network,Bob Network,
wax,WAX,
starknet,StarkNet,
provenance,Provenance,
xdc-network,XDC Network,50
abstract,Abstract,2741
skale,Skale,2046399126
syscoin,Syscoin NEVM,57
algorand,Algorand,
sonic-svm,Sonic SVM,
sonic,Sonic,146
duckchain,DuckChain,5545
vana,Vana,1480
arbitrum-nova,Arbitrum Nova,42170
fantom,Fantom,250
crossfi,CrossFi,4158
etherlink,Etherlink,42793
